name,city,area,cuisine,restaurant_type,rating,cost_for_two,votes,online_order,book_table,cost_category,listed_date
Biryani Blues,Hyderabad,Banjara Hills,Cafe,Dine-out,3.1,250,889,Yes,No,Budget,2024-07-14
Curry House,Bangalore,Koramangala,Japanese,Takeaway,3.1,900,4647,Yes,No,Mid-range,2023-08-15
Tandoor Express,Chennai,T. Nagar,Seafood,Café,4.2,1300,2326,Yes,No,Premium,2023-04-03
Kebab King,Delhi,Saket,Hyderabadi,Takeaway,3.9,400,3813,Yes,No,Budget,2023-03-18
Dosa Corner,Mumbai,Powai,Korean,Delivery,4.6,1450,4779,Yes,Yes,Premium,2023-10-03
Filter Coffee Co,Kolkata,Park Street,Bengali,Café,3.2,600,3038,Yes,Yes,Mid-range,2023-03-20
Haleem Hub,Hyderabad,Begumpet,Thai,Delivery,2.9,1400,2261,No,No,Premium,2023-11-27
Dragon Wok,Pune,Koregaon Park,Thai,Café,4.5,1250,3336,Yes,Yes,Premium,2023-07-21
Sushi Zen,Delhi,Rajouri Garden,Mexican,Takeaway,2.8,550,2070,Yes,No,Mid-range,2024-07-13
Pizza Palace,Delhi,Hauz Khas,BBQ,Delivery,3.7,1250,435,No,Yes,Premium,2024-02-20
Burger Barn,Bangalore,Whitefield,Korean,Dine-out,4.9,1800,2109,No,No,Premium,2023-04-22
Noodle Bar,Kolkata,New Town,Continental,Café,2.8,1500,1345,Yes,No,Premium,2024-05-25
Taco Town,Bangalore,Koramangala,Street Food,Dine-out,4.5,300,1679,Yes,No,Budget,2023-11-16
Ramen Room,Bangalore,HSR Layout,Street Food,Takeaway,3.1,200,4697,No,Yes,Budget,2023-03-25
Thai Orchid,Chennai,Anna Nagar,Mughlai,Takeaway,4.1,1050,1402,Yes,No,Premium,2023-07-18
Paneer Paradise,Pune,Kothrud,Japanese,Dine-out,4.2,2450,3109,Yes,No,Premium,2023-08-08
Sambar Stories,Bangalore,Koramangala,Lebanese,Dine-out,3.8,1100,1854,Yes,No,Premium,2023-08-03
Chai Adda,Kolkata,New Town,Chinese,Takeaway,3.7,650,4026,Yes,Yes,Mid-range,2023-08-26
Paratha Point,Delhi,Chandni Chowk,Japanese,Dine-out,2.7,2550,2952,Yes,No,Premium,2023-04-02
Wok This Way,Delhi,Saket,Italian,Café,3.1,900,4443,Yes,No,Mid-range,2024-03-08
Momos Factory,Kolkata,Park Street,Mexican,Dine-out,4.4,950,852,Yes,No,Mid-range,2023-03-25
Dal Tadka,Kolkata,Salt Lake,Rajasthani,Dine-out,3.7,600,3335,No,Yes,Mid-range,2024-01-09
Idli Street,Jaipur,Vaishali Nagar,Street Food,Delivery,3.5,350,4602,Yes,No,Budget,2023-10-07
Shawarma Station,Jaipur,Tonk Road,Desserts,Delivery,2.6,300,518,Yes,No,Budget,2023-02-17
Pho Republic,Bangalore,Indiranagar,Chinese,Delivery,3.9,600,3357,Yes,No,Mid-range,2024-07-20
Butter Story,Bangalore,Koramangala,Rajasthani,Café,4.1,1000,4332,Yes,Yes,Mid-range,2023-08-09
Masala Box,Delhi,Rajouri Garden,Street Food,Dine-out,3.6,350,644,Yes,No,Budget,2023-03-18
Rice Bowl,Mumbai,Colaba,Mughlai,Café,4.7,550,2051,Yes,Yes,Mid-range,2024-05-01
Tikka Junction,Hyderabad,Begumpet,Street Food,Delivery,4.7,200,1150,Yes,No,Budget,2023-09-10
Chaat Corner,Chennai,Besant Nagar,Continental,Dine-out,3.0,1900,2212,Yes,Yes,Premium,2023-03-21
Spice Point,Delhi,Saket,South Indian,Takeaway,4.4,550,2195,Yes,No,Mid-range,2024-06-01
